Season Number,Startup Name,Season Start,Season End,Episode Number,Pitch Number,Industry,Business Description,Company Website,Entrepreneur Names,Number of Presenters,Pitchers Average Age,Started in,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,SKUs,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Angels in deal,Investment Amount Per Angel,Equity Per Angel,Deal has conditions,Has Patents,Royalty deal,Deepa Investment Amount,Deepa Investment Equity,Deepa Debt Amount,Renuka Investment Amount,Renuka Investment Equity,Renuka Debt Amount,Sridhar Investment Amount,Sridhar Investment Equity,Sridhar Debt Amount,Rohit Investment Amount,Rohit Investment Equity,Rohit Debt Amount,Sindhura Investment Amount,Sindhura Investment Equity,Sindhura Debt Amount,Sudhakar Investment Amount,Sudhakar Investment Equity,Sudhakar Debt Amount,Karan Investment Amount,Karan Investment Equity,Karan Debt Amount,Deepa Present,Renuka Present,Sridhar Present,Rohit Present,Sindhura Present,Sudhakar Present,Karan Present
1,Ammamma's,21-Jul-23,,1,1,Food,Ready to eat packed food,https://www.ammammas.in/,Prathima Viswanath,1,Middle,2019,4200,,55,,21,300,6,5000,1,1,50,2,,,2500,2,25,1,,,,25,1,,,,,25,1,,,,,,,,,,,,,,1,1,1,1,1,1,
1,Vapra,21-Jul-23,,1,2,Lifestyle/Home,Waste composters,https://vapracomposting.in/,Pavani,1,Young,2018,,3,,,4,25,10,250,1,1,25,20,,,125,2,12.5,10,,,,,,,,,,,,,,,,12.5,10,,12.5,10,,,,,1,1,1,1,1,1,
1,CocoTang,21-Jul-23,,2,3,Food,Coconut based drink,https://cocotangindia.com/,Neelima,1,Middle,2020,,,,,6,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,
1,Zithara,21-Jul-23,,2,4,Software/Technology,Customer segmentation in retail,https://zithara.com/,Sridevi,1,Middle,2022,,,,,,80,2,4000,1,1,60,6,,,1000,6,10,1,,,,10,1,,10,1,,10,1,,10,1,,10,1,,10,1,,,,,1,1,1,1,1,1,
1,ForwardParcel,21-Jul-23,,3,5,Logistics,International shipping from India,www.ForwardParcel.com,Chetana Priyanka,1,Middle,2019,130,,35,30,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,
1,BiorasPharma,21-Jul-23,,3,6,Medical/Health,Manufacture of chemicals &products,,Rachana Tripathi,1,Middle,2021,0,,,,,100,2,5000,1,1,100,2,,,5000,2,50,1,Yes,,,,,,,,,,,,50,1,,50,1,,,,,,,,,1,1,1,1,1,
1,DoggyVille,21-Jul-23,,4,7,Pets/Animals,Dog care Doggy Daycare,https://doggyvilleindia.in/,Amrutha Varshini,1,Young,,,,,,,80,20,400,1,1,25,10,,,250,1,25,10,,,,,,,,,,25,10,,,,,,,,,,,,,,,1,1,1,1,1,
1,TummyFriendlyFoods,21-Jul-23,,4,8,Food,"Nutrient-rich sprouted whole grains, pulses, vegetables, fruit and nuts",https://tummyfriendlyfoods.com/,Sridevi Ashala,1,Middle,2020,220,18,,30,30,50,5,1000,1,1,40,8,,,500,2,20,4,,,,,,,20,4,,,,,,,,,,,20,4,,,,,,1,1,1,1,1,
1,Laurik,21-Jul-23,,5,9,Health/Wellness,Coconut Health Nutrition Shots Supplement Powder,https://lauriko.com/,Lavanya Sunkari,1,Middle,2022,330,,,,,70,2,3500,1,1,50,4,,,1250,2,25,2,,yes,,,,,25,2,,,,,,,,,,,,,,25,2,,,1,,1,1,1,1
1,SecondInnings,21-Jul-23,,5,10,Lifestyle/Home,Day care centers for senior citizens,,Madhuri Akella,1,Middle,,15,,,,,40,20,200,1,1,20,15,,,133,1,20,15,,,,,,,,,,,,,,,,20,15,,,,,,,,,1,,1,1,1,1
1,GrailMakerInnovations,21-Jul-23,,6,11,Health/Wellness,Vision nanny Spacefelt apps,https://visionnanny.com/,Prathyushya,1,Young,,,,,,,50,5,1000,1,1,20,2,,,1000,1,20,2,,,,,,,,,,,,,,,,20,2,,,,,,,,,1,,1,1,1,1
1,SeptemberShoes,21-Jul-23,,6,12,Fashion/Beauty,Customised luxury footwear,https://septembershoes.com/,Nishka Agarwal,1,Middle,,46,,,,,50,15,333,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1
1,Meechu,21-Jul-23,,7,13,Children,Taped Bronze Diapers,,Suma Latha,1,Middle,2021,,,45,23,4,30,3,1000,1,1,30,10,,,300,2,15,5,,,,,,,,,,15,5,,,,,15,5,,,,,,,,1,1,1,,1,,1
1,LemmeBe,21-Jul-23,,7,14,Health/Wellness,Cotton Certified Biodegradable Sanitary Pad,https://www.lemmebe.com/,Devidutta Dash,1,Middle,2020,,,,,,100,1.5,6667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1
1,Savvy's,21-Jul-23,,8,15,Fashion/Beauty,quality comfortable affordable female footwear,,Savithri,1,Old,,,,,,,15,10,150,1,1,10,10,,,100,1,10,10,,,,,,,,,,,,,,,,,,,,,,10,10,,1,1,1,,1,,1
1,Starbuzz.ai,21-Jul-23,,8,16,Software/Technology,influencer marketing platform,https://www.starbuzz.ai/,Krishna Priya,1,Young,2021,,,,,,80,8,1000,1,1,40,15,,,267,3,13.33,5,yes,,,13.33,5,,,,,13.33,5,,,,,13.33,5,,,,,,,,1,1,1,,1,,1
1,ChaiMasthi,21-Jul-23,,9,17,Food,variety of Tea And Coffee franchise Business,https://www.chaimasthi.com/,Kota Sruthi,1,Middle,2021,220,,,,,60,6,1000,1,1,20,10,25,,200,1,20,10,,,yes,20,10,25,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,
